epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,257.577,1.15016,2.38234,1.13611,0,0,0,0,5.55821,8.39904,4.81468,0.000350649,0.000350649,0.000350649
61,260.428,1.20595,1.98025,1.07027,0,0,0,0,5.55821,8.39904,4.81468,0.000348104,0.000348104,0.000348104
62,263.289,1.33859,2.09284,1.10661,0,0,0,0,5.55821,8.39904,4.81468,0.000345276,0.000345276,0.000345276
63,266.457,1.34381,2.14484,1.17316,0,0,0,0,5.55821,8.39904,4.81468,0.000342165,0.000342165,0.000342165
64,269.115,1.17727,2.05011,1.08091,0,0,0,0,5.55821,8.39904,4.81468,0.000338772,0.000338772,0.000338772
65,272.022,1.14067,1.90383,1.01067,0,0,0,0,5.55821,8.39904,4.81468,0.000335095,0.000335095,0.000335095
66,274.8,1.05507,1.86041,0.97375,0,0,0,0,5.55821,8.39904,4.81468,0.000331135,0.000331135,0.000331135
67,277.314,1.50445,2.64871,1.22854,0,0,0,0,5.55821,8.39904,4.81468,0.000326892,0.000326892,0.000326892
68,280.612,1.20581,2.00636,1.05377,0,0,0,0,5.55821,8.39904,4.81468,0.000322367,0.000322367,0.000322367
69,283.319,1.14024,2.04422,1.02863,0,0,0,0,5.55821,8.39904,4.81468,0.000317558,0.000317558,0.000317558
70,286.68,1.21724,2.20387,1.11134,0,0,0,0,5.55821,8.39904,4.81468,0.000312467,0.000312467,0.000312467
71,289.404,1.40116,2.12679,1.22855,0,0,0,0,5.55821,8.39904,4.81468,0.000307092,0.000307092,0.000307092
72,292.27,1.2289,2.17684,1.10454,0,0,0,0,5.26161,6.25747,4.6399,0.000301435,0.000301435,0.000301435
73,294.78,1.05252,1.77387,1.04145,0,0,0,0,5.26161,6.25747,4.6399,0.000295494,0.000295494,0.000295494
74,297.771,0.99658,1.80323,1.00514,0,0,0,0,5.26161,6.25747,4.6399,0.000289271,0.000289271,0.000289271
75,300.395,1.10424,1.74972,1.08429,0,0,0,0,5.26161,6.25747,4.6399,0.000282765,0.000282765,0.000282765
76,303.88,1.11667,2.00186,1.02629,0,0,0,0,5.26161,6.25747,4.6399,0.000275976,0.000275976,0.000275976
77,311.078,1.05055,1.68441,1.00125,0,0,0,0,5.26161,6.25747,4.6399,0.000268904,0.000268904,0.000268904
78,315.356,1.05727,1.81772,1.02488,0,0,0,0,5.26161,6.25747,4.6399,0.000261548,0.000261548,0.000261548
79,319.827,1.14889,1.83911,1.01178,0,0,0,0,5.26161,6.25747,4.6399,0.00025391,0.00025391,0.00025391
80,324.89,1.08297,1.82911,0.96818,0,0,0,0,5.26161,6.25747,4.6399,0.000245989,0.000245989,0.000245989
81,329.844,1.16061,1.93989,1.0994,0,0,0,0,5.26161,6.25747,4.6399,0.000237786,0.000237786,0.000237786
82,334.75,1.26679,2.01707,1.04467,0,0,0,0,5.26161,6.25747,4.6399,0.000229299,0.000229299,0.000229299
83,338.276,1.06757,1.74661,1.0525,0,0,0,0,5.26161,6.25747,4.6399,0.000220529,0.000220529,0.000220529
84,341.841,1.03637,1.80135,1.00185,0,0,0,0,5.26161,6.25747,4.6399,0.000211476,0.000211476,0.000211476
85,344.646,0.92684,1.63724,0.94779,0,0,0,0,5.26161,6.25747,4.6399,0.000202141,0.000202141,0.000202141
86,349.545,1.24405,1.83291,1.11036,0,0,0,0,5.22333,6.30787,4.56538,0.000192522,0.000192522,0.000192522
87,354.281,1.23119,1.81347,1.07797,0,0,0,0,5.22333,6.30787,4.56538,0.00018262,0.00018262,0.00018262
